cbh_id,cbh_nome,municipio
piquiri_parana2,CBH Piquiri e Paraná 2,Tapejara
piquiri_parana2,CBH Piquiri e Paraná 2,Querência do Norte
piquiri_parana2,CBH Piquiri e Paraná 2,Formosa do Oeste
piquiri_parana2,CBH Piquiri e Paraná 2,Marquinho
piquiri_parana2,CBH Piquiri e Paraná 2,Campo Bonito
piquiri_parana2,CBH Piquiri e Paraná 2,Guaraniaçu
piquiri_parana2,CBH Piquiri e Paraná 2,Guarapuava
piquiri_parana2,CBH Piquiri e Paraná 2,Cafelândia
piquiri_parana2,CBH Piquiri e Paraná 2,Nova Aurora
piquiri_parana2,CBH Piquiri e Paraná 2,Laranjeiras do Sul
piquiri_parana2,CBH Piquiri e Paraná 2,Cascavel
piquiri_parana2,CBH Piquiri e Paraná 2,Cantagalo
piquiri_parana2,CBH Piquiri e Paraná 2,Nova Laranjeiras
piquiri_parana2,CBH Piquiri e Paraná 2,Goioxim
piquiri_parana2,CBH Piquiri e Paraná 2,Perobal
piquiri_parana2,CBH Piquiri e Paraná 2,Janiópolis
piquiri_parana2,CBH Piquiri e Paraná 2,Brasilândia do Sul
piquiri_parana2,CBH Piquiri e Paraná 2,Braganey
piquiri_parana2,CBH Piquiri e Paraná 2,Catanduvas
piquiri_parana2,CBH Piquiri e Paraná 2,Altamira do Paraná
piquiri_parana2,CBH Piquiri e Paraná 2,São Jorge do Patrocínio
piquiri_parana2,CBH Piquiri e Paraná 2,Alto Piquiri
piquiri_parana2,CBH Piquiri e Paraná 2,Jesuítas
piquiri_parana2,CBH Piquiri e Paraná 2,Francisco Alves
piquiri_parana2,CBH Piquiri e Paraná 2,Iracema do Oeste
piquiri_parana2,CBH Piquiri e Paraná 2,Araruna
piquiri_parana2,CBH Piquiri e Paraná 2,Tuneiras do Oeste
piquiri_parana2,CBH Piquiri e Paraná 2,Ibema
piquiri_parana2,CBH Piquiri e Paraná 2,Santa Maria do Oeste
piquiri_parana2,CBH Piquiri e Paraná 2,Boa Ventura de São Roque
piquiri_parana2,CBH Piquiri e Paraná 2,Campina do Simão
piquiri_parana2,CBH Piquiri e Paraná 2,Palmital
piquiri_parana2,CBH Piquiri e Paraná 2,Diamante do Sul
piquiri_parana2,CBH Piquiri e Paraná 2,Tupãssi
piquiri_parana2,CBH Piquiri e Paraná 2,Campina da Lagoa
piquiri_parana2,CBH Piquiri e Paraná 2,Turvo
piquiri_parana2,CBH Piquiri e Paraná 2,Laranjal
piquiri_parana2,CBH Piquiri e Paraná 2,Nova Cantú
piquiri_parana2,CBH Piquiri e Paraná 2,Pitanga
piquiri_parana2,CBH Piquiri e Paraná 2,Mato Rico
piquiri_parana2,CBH Piquiri e Paraná 2,Roncador
piquiri_parana2,CBH Piquiri e Paraná 2,Corbélia
piquiri_parana2,CBH Piquiri e Paraná 2,Iguatu
piquiri_parana2,CBH Piquiri e Paraná 2,Anahy
