id_osc,nome,email,endereco,telefone,natureza_juridica,situacao_cadastral,edmu_cd_municipio,edmu_nm_municipio
538421,INSTITUTO EDUCACIONAL JOSE SARAMAGO,FABIANADOSSANTOS428@GMAIL.COM,RUA XV DE NOVEMBRO 964,3498735268.0,Associação Privada,Não informado,4106902,Curitiba
608474,ASSOCIACAO BRASILEIRA CRIADORES BOVINOS RACA HOLANDESA,COPLA@UOPL.COM.BR,RODOVIA PR-340,4132855169.0,Associação Privada,ATIVA,4106902,Curitiba
644464,INSTITUTO DE FILOSOFIA DO DIREITO E DIREITOS HUMANOS - IFDDH,rh@pratescontabilidade.com.br,"RUA VALDIVIA, CONJ  02                  ANDAR 2",4199712875.0,Associação Privada,ATIVA,4106902,Curitiba
648268,IGREJA PENTECOSTAL UMA ALIANCA COM DEUS,escritorioaureni@gmail.com,RUA SALVADOR CHIANCA,4103877152.0,Associação Privada,ATIVA,4102406,Bandeirantes
654608,ASSOCIACAO BRASILEIRA DE CIRURGIA DE RESTAURACAO CAPILAR,SECRETARIA@CLINICAMURICY.COM.BR,AVENIDA PRESIDENTE GETULIO VARGAS,4130857600.0,Associação Privada,ATIVA,4106902,Curitiba
547149,MAIS - MISSAO EM APOIO A IGREJA SOFREDORA,CONTATO@MAISNOMUNDO.ORG,RUA ANTONIO ALCEU MACHADO,4136198185.0,Associação Privada,ATIVA,4100400,Almirante Tamandaré
590419,ASSOCIACAO NACIONAL DOS PRODUTORES DE COGUMELOS - ANPC,LUIS_POSSOBON@YAHOO.COM.BR,RUA SAO SALVADOR,4133826891.0,Associação Privada,ATIVA,4125506,São José dos Pinhais
646186,PERSPECTIVAS BRASIL NO MOVIMENTO CRISTAO MUNDIAL,lopesmicheli@yahoo.com.br,"RUA DOUTOR DANILO GOMES, CASA  11",1938763104.0,Associação Privada,ATIVA,4106902,Curitiba
672130,PAROQUIA CRISTO REI,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"RUA MINAS GERAIS, ANDAR TERREO",4532293980.0,Organização Religiosa,ATIVA,4113452,Lindoeste
488586,ASSOCIACAO BRASILEIRA DE ARBITROS DE ATLETISMO,CLAUDIASCHNECK@HOTMAIL.COM,"AVENIDA SENADOR SALGADO FILHO, CASA  03                  COND  SANTOS CD",4184281746.0,Associação Privada,ATIVA,4106902,Curitiba
669939,ESCREVER O FUTURO,alexandre@conticampanholi.com.br,AVENIDA CARLOS GOMES,4499857355.0,Associação Privada,ATIVA,4115200,Maringá
463397,IGREJA CRISTA MARANATA,CONTABILIDADE@PRESBITERIO.ORG.BR,RUA FRANCISCO LOURES SALINET,2733203306.0,Organização Religiosa,ATIVA,4109807,Ibiporã
594047,ASSOCIACAO DOS CRIADORES DE GADO JERSEY DO BRASIL,CONTATO@GADOJERSEYBR.COM.BR,"RUA FRANCISCO TORRES, APT   1403                BLOCO ALEXANDRE ED",4130495965.0,Associação Privada,ATIVA,4106902,Curitiba
672129,PAROQUIA SANTA TEREZA D'AVILA,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"AVENIDA ASSUNCAO, ANDAR TERREO",4532293980.0,Organização Religiosa,ATIVA,4124020,Santa Tereza do Oeste
627528,INSTITUTO CIDADE JUNIOR,BRESSAN.REGIANE@CIDADEJUNIOR.ORG.BR,"AVENIDA DESEMBARGADOR CLOTARIO PORTUGAL, SALA  18 E 19",4131520406.0,Associação Privada,ATIVA,4104204,Campo Largo
620449,IGREJA DO SETIMO DIA MOVIMENTO DO ADVENTO,ISDMADVENTO@HOTMAIL.COM,AVENIDA BRASIL,4497739700.0,Organização Religiosa,ATIVA,4102000,Assis Chateaubriand
