id_osc,nome,email,endereco,telefone,natureza_juridica,situacao_cadastral
1354507,ASSOCIACAO DE AMIGOS DA NATUREZA COLONIA NOVA - NOVA PRATA DO IGUACU,,"COMUNIDADE LINHA COLONIA NOVA, LOTE  86",41 91976728,Associação Privada,Ativas
1354891,ASSOCIACAO ACQUA VIDA E ESPORTES DE MARINGA,GUSTAVOVIDO@HOTMAIL.COM,"RUA VEREADOR JOSE MARIO HAUARI, CASA  A",44 99110883,Associação Privada,Ativas
1354355,ASSOCIACAO DOS CONDOMINOS DO EDIFICIO ARAUNA'S RESIDENCE,ALCEUDOMENICO@GMAIL.COM,RUA AFONSO BOTELHO,42 99778005,Associação Privada,Ativas
1354572,"ASSOCIACAO DE MORADORES DA LINHA FARROUPILHA DE FRANCISCO BELTRAO, ESTADO DO PARANA",COMUNELO@COMUNELO.COM.BR,RUA PRINCIPAL,46 35203750,Associação Privada,Ativas
1354518,ASSOCIACAO TORNADO BELTRAO FUTSAL,ESCRITORIOGODOYFB@GMAIL.COM,AVENIDA PARANA,46 88097901,Associação Privada,Ativas
1354908,ASSOCIACAO PROJETO SOCIAL INTERCULTURAL DE ENSINO DA LINGUA PORTUGUESA PARA ESTRANGEIROS E ASSISTENCIA SOCIAL,SERVDATA.07@GMAIL.COM,"RUA PRESIDENTE COSTA E SILVA, ANEXO UNINTTER",46 91265940,Associação Privada,Ativas
1354404,ASSOCIACAO AGUA BOA DE LINHA PESCHISKY,CONTABILIDADE@LS.PR.GOV.BR,"AREA COMUNIDADE RURAL DE LINHA PESCHISKY, PAVLH PAVILHAO",42 84397953,Associação Privada,Ativas
1354909,IGREJA EVANGELICA PENTECOSTAL DEUS E POR NOS,AMELIOSERVICOS@HOTMAIL.COM,"RUA CARNAUBA, ANEXO JD HABITACIONAL BUBA",45 99510144,Organização Religiosa,Inaptas
1354954,ASSOCIACAO FILANTROPICA CONSTRUTORES DO BEM,ESCRITORIOESCRITA@GMAIL.COM,RUA BELO HORIZONTE,45 99427593,Associação Privada,Ativas
1354969,ASSOCIACAO DOS PRODUTORES RURAIS DOS BAIRROS DO QUARENTA E COLONIA SAO MIGUEL - APQC,ESCRITORIO.MOREIRA@HOTMAIL.COM,ESTRADA DO QUARENTA DE BAIXO,43 99231770,Associação Privada,Ativas
1354955,ASSOCIACAO MARINGAENSE DE AJUDA AOS ANIMAIS RESGATADOS (AMAAR),CONTATO@NESCON.COM.BR,"AVENIDA TIRADENTES, APT   1701",44 84548193,Associação Privada,Ativas
1355091,IGREJA EVANGELICA ASSEMBLEIA DE DEUS MINISTERIO LIVRE,ASABRASILCASCAVEL@GMAIL.COM,RUA BELEM,45 99379144,Organização Religiosa,Ativas
1355112,TEMPLO AMOR E CARIDADE - UNIVERSALISMO CRISTICO,,AVENIDA 7 DE SETEMBRO,44 99691157,Organização Religiosa,Ativas
1355143,GRUPO MUZENZA DE CAPOEIRA,MESTREBURGUES@HOTMAIL.COM,"RUA PROFESSORA DONA LULU, CASA  01                  COND  DIAMANTINA IV CJ RES",41 72537339,Associação Privada,Ativas
1355148,COMUNIDADE JERUSALEM DE CASCAVEL - PR,ALISSON@ARAUJOTREINAMENTOS.COM,RUA POENTE DO SOL,45 99108878,Organização Religiosa,Suspensas
1355189,ASSOCIACAO DOS TRABALHADORES INTERMUNICIPAIS DE TUNEIRAS DO OESTE,JVCA.ADVOGADO@GMAIL.COM,RUA CIANORTE,44 98676575,Associação Privada,Inaptas
1355308,A.R.E.P.A  ASSOCIACAO REVIVER ESPERANCA - PORTO AMAZONAS,XXX@GMAIL.COM,RUA AVENIDA PORTO AMAZONAS,42 90000000,Associação Privada,Ativas
1355305,ASSOCIACAO JUDO CARLOS SILVA - A.J.C.S.,EQUIPE@ACSJUDO.COM.BR,"RUA FAGUNDES VARELA, LOJA  01",42 88089933,Associação Privada,Ativas
1355392,IGREJA PENTECOSTAL RECOMECANDO COM JESUS,ORDONHESFRAN@GMAIL.COM,RUA PADRE ESTANISLAU PIASECKI,41 98274600,Organização Religiosa,Ativas
1355384,IGREJA ADONAI O REFUGIO - IAR,MARIAALVESDASILVA846@GMAIL.COM,AVENIDA ANCHIETA,44 32740461,Organização Religiosa,Ativas
1355530,ASSOCIACAO DOS LOJISTAS DO CIANORTINHO,,RUA ALFAZEMA,44 99294651,Associação Privada,Ativas
1355317,ASSOCIACAO AMIGOS DE NOE - CENTRO DE PROTECAO E DEFESA DOS ANIMAIS E MEIO AMBIENTE DE SANTO INACIO - PR,LUIZCELESTINO1003@GMAIL.COM,RODOVIA PR 340,44 97094710,Associação Privada,Ativas
1355646,ASSOCIACAO LONDRINENSE DE CRIADORES DE CURIO E BICUDO,JAIR@JCCONTAB.COM.BR,RUA JOHANN GUTEMBERG,43 33475579,Associação Privada,Ativas
1355664,AMVF - ASSOCIACAO DE MORADORES DE SHANGRILA II - VILA DAS FLORES,EFISACONTABIL@HOTMAIL.COM,RUA GUARAQUECABA,41 34586902,Associação Privada,Ativas
1355689,ASSOCIACAO DE MORADORES VALE DO COUNTRY,LEGALIZACAO1@GERENCIALCONTABIL.COM.BR,AVENIDA SILVA JARDIM,46 35364269,Associação Privada,Ativas
1355924,IGREJA PENTECOSTAL JESUS CRISTO E FIEL,CCMACM@HOTMAIL.COM,RUA RUA MIGUEL DO CARMO,41 98494183,Organização Religiosa,Ativas
1355795,ONG/ASSOCIACAO PROTETORES DOS ANIMAIS DE PINHAL,ALVORADA223@HOTMAIL.COM,RUA ABEL AMARAL DOS SANTOS,43 35511280,Associação Privada,Ativas
1356100,FAMILIA REDENCAO SANTA TEREZINHA DE ITAIPU,ESCQUIRINO@GMAIL.COM,AVENIDA AVENIDA ADOLPHO LOLLATO,44 30317690,Organização Religiosa,Ativas
1356130,CONGREGACAO MISSIONARIA DO SANTISSIMO REDENTOR,REDEPARK167@GMAIL.COM,RUA UBALDINO DO AMARAL,41 87312911,Organização Religiosa,Ativas
1356106,LAR DOS IDOSOS ANA FERREIRA BRITES,ASSISTERAMI@HOTMAIL.COM,RUA SALVADOR,45 32581300,Associação Privada,Ativas
1356125,ASSOCIACAO DA BANDA SCORPIONS,SARAHGABRIELLI29@GMAIL.COM,RUA JOAO MARQUES DA SILVA,41 87365916,Associação Privada,Ativas
1356133,ASSOCIACAO DA INSTITUIDORA E DOS LOCATARIOS DO VBI LOG ARAUCARIA,A@A.COM.BR,RUA PEDRO DE ALCANTARA MEIRA,11 23442525,Associação Privada,Ativas
1356243,COMUNIDADE MISSIONARIA BETEL,CMB@GMAIL.COM,RUA HENRIQUE STADLER,42 11111111,Associação Privada,Ativas
1356441,INSTITUTO XAMANICO CORACAO DA TERRA,CONTABILIDADE@ELEVENCONTABILIDADE.COM.BR,"ESTRADA CAMPESTRINO A BARREIROS,",41 98568723,Organização Religiosa,Ativas
1356247,IGREJA URBANA PONTA GROSSA,VICTOR.MARCONDES.GOMES@GMAIL.COM,RUA GOVERNADOR BENTO MUNHOZ DA ROCHA NETO,42 88053052,Organização Religiosa,Ativas
1356420,ASSOCIACAO LONTRENSE DE APICULTORES E MELIPONICULTORES - ALAMEL,EDERFROZZA@IDR.PR.GOV.BR,RUA SETEMBRINO CASTANHO OLIVEIRA,46 88366520,Associação Privada,Ativas
1356543,IGREJA APOSTOLICA PLENITUDE DA BENCAO DE CRISTO,GISELIRODRIGUEZ@OUTLOOK.COM,RUA OURO,41 89007473,Organização Religiosa,Ativas
1356608,IGREJA UNIDOS A CRISTO,BELAVISTA.CONTABILISTA@GMAIL.COM,RUA CRESCENCIO MARTINS,46 32521543,Organização Religiosa,Ativas
1356603,"ASSOCIACAO DE MORADORES DO JARDIM RIO DE JANEIRO E SAO JOSE PARTE 1, 2 E 3",ESCRITORIOARAUCARIA.ADM@OUTLOOK.COM,RUA 107,44 97411103,Associação Privada,Ativas
1356662,INSTITUTO MORRO DOS ANJOS,LICENCAS@PACTOEBYTES.COM.BR,"AVENIDA PREFEITO MOACIR CASTANHO, SALA  05",43 35424317,Associação Privada,Ativas
1356719,IGREJA PRESBITERIANA DE JUNDIAI DO SUL,REV_JOAOPEPI@HOTMAIL.COM,RUA SAO FRANCISCO,47 99922173,Organização Religiosa,Ativas
1356699,INSTITUTO 21 DE ABRIL DE EDUCACAO E CULTURA,ORTEC@TERRA.COM.BR,"AVENIDA DESEMBARGADOR HUGO SIMAS, SALA  108                 ANDAR TR                  BLOCO MILCENTOEVINTE ED",41 99726069,Associação Privada,Ativas
1356757,ASSOCIACAO TURISTICA DE VERE - ATV,MARCIANE_KIAPETTI@HOTMAIL.COM,"RODOVIA PR 475, KM 38",46 99061124,Associação Privada,Ativas
1356754,ASSOCIACAO DE MORADORES DA NOVA TIRADENTES CIC,CONTATO@FETESPAR.ORG.BR,RUA DOS PALMENSES,41 96404482,Associação Privada,Ativas
1356969,ASSOCIACAO RESIDENCIAL PARQUE LAGO AZUL,ESCRITORIO_UMUARAMA@HOTMAIL.COM,"RUA CLAUDINO FERNANDES, LOTE  40",44 91085395,Associação Privada,Ativas
1356999,ASSOCIACAO DO BLOCO D DO RESIDENCIAL CIDADE UNIVERSITARIA,SONIAFACHIN@GMAIL.COM,AVENIDA GUEDNER,44 99820807,Associação Privada,Inaptas
1356905,IGREJA MISSAO EVANGELISTICA MUNDIAL,IVONEL.DOMBROSKI@YAHOO.COM.BR,RUA BOM JESUS DE IGUAPE,41 96536078,Organização Religiosa,Ativas
1357041,ASSOCIACAO DEUS ESPERANCA E AMOR,LICENCAS@PACTOEBYTES.COM.BR,"AVENIDA EDELINA MENEGHEL RANDO, LOTE  02",43 35424317,Associação Privada,Ativas
1357050,ASSOCIACAO DE APOIO AO DESENVOLVIMENTO HUMANO,LZ.GRINKO@GMAIL.COM,RUA JOSE DALPRA,41 99178756,Organização Religiosa,Ativas
1357051,ASSOCIACAO DE ASSISTENCIA SOCIAL CELEBRAR,ANDREPAIXAO.CERENE@GMAIL.COM,"RUA BENJAMIN CONSTANT, CONJ  1104                ANDAR 10                  COND  LONDON CJ CMRL",41 30450556,Associação Privada,Ativas
1357053,ASSOCIACAO FLAVIA CRISTINA,ADM@AF.ORG.BR,RUA CRISTIANO MACHADO,43 33274828,Associação Privada,Ativas
1357056,ASSOCIACAO FLAVIA CRISTINA,ADM@AFC.ORG.BR,RUA VISCONDE DE MAUA,43 33274828,Associação Privada,Ativas
1357200,ASSOCIACAO DE INTEGRACAO UNIAO DOS PRODUTORES RURAIS DO BAIRRO MARRECA - AIUM,PARNACONTABIL@HOTMAIL.COM,"SITIO VIZINI, TERREOZONA RURAL",44 91652535,Associação Privada,Ativas
1357454,ASSOCIACAO ESPORTIVA NILO NEVES,ASSOCIACAOESPORTIVANILONEVES@GMAIL.COM,"RUA JOAO ANTUNES BRANCO, CASA  6A2                 COND  CACHOEIRA RES",41 91717573,Associação Privada,Ativas
