id_osc,nome,email,endereco,telefone,natureza_juridica,situacao_cadastral
538421,INSTITUTO EDUCACIONAL JOSE SARAMAGO,FABIANADOSSANTOS428@GMAIL.COM,RUA XV DE NOVEMBRO 964,3498735268,Associação Privada,Não informado
608474,ASSOCIACAO BRASILEIRA CRIADORES BOVINOS RACA HOLANDESA,COPLA@UOPL.COM.BR,RODOVIA PR-340,41 32855169,Associação Privada,ATIVA
644464,INSTITUTO DE FILOSOFIA DO DIREITO E DIREITOS HUMANOS - IFDDH,rh@pratescontabilidade.com.br,"RUA VALDIVIA, CONJ  02                  ANDAR 2",41 99712875,Associação Privada,ATIVA
648268,IGREJA PENTECOSTAL UMA ALIANCA COM DEUS,escritorioaureni@gmail.com,RUA SALVADOR CHIANCA,4103877152,Associação Privada,ATIVA
654608,ASSOCIACAO BRASILEIRA DE CIRURGIA DE RESTAURACAO CAPILAR,SECRETARIA@CLINICAMURICY.COM.BR,AVENIDA PRESIDENTE GETULIO VARGAS,41 30857600,Associação Privada,ATIVA
547149,MAIS - MISSAO EM APOIO A IGREJA SOFREDORA,CONTATO@MAISNOMUNDO.ORG,RUA ANTONIO ALCEU MACHADO,41 36198185,Associação Privada,ATIVA
590419,ASSOCIACAO NACIONAL DOS PRODUTORES DE COGUMELOS - ANPC,LUIS_POSSOBON@YAHOO.COM.BR,RUA SAO SALVADOR,41 33826891,Associação Privada,ATIVA
646186,PERSPECTIVAS BRASIL NO MOVIMENTO CRISTAO MUNDIAL,lopesmicheli@yahoo.com.br,"RUA DOUTOR DANILO GOMES, CASA  11",19 38763104,Associação Privada,ATIVA
672130,PAROQUIA CRISTO REI,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"RUA MINAS GERAIS, ANDAR TERREO",45 32293980,Organização Religiosa,ATIVA
488586,ASSOCIACAO BRASILEIRA DE ARBITROS DE ATLETISMO,CLAUDIASCHNECK@HOTMAIL.COM,"AVENIDA SENADOR SALGADO FILHO, CASA  03                  COND  SANTOS CD",41 84281746,Associação Privada,ATIVA
669939,ESCREVER O FUTURO,alexandre@conticampanholi.com.br,AVENIDA CARLOS GOMES,44 99857355,Associação Privada,ATIVA
463397,IGREJA CRISTA MARANATA,CONTABILIDADE@PRESBITERIO.ORG.BR,RUA FRANCISCO LOURES SALINET,27 33203306,Organização Religiosa,ATIVA
594047,ASSOCIACAO DOS CRIADORES DE GADO JERSEY DO BRASIL,CONTATO@GADOJERSEYBR.COM.BR,"RUA FRANCISCO TORRES, APT   1403                BLOCO ALEXANDRE ED",41 30495965,Associação Privada,ATIVA
672129,PAROQUIA SANTA TEREZA D'AVILA,CONTABILIDADE@ARQUICASCAVEL.ORG.BR,"AVENIDA ASSUNCAO, ANDAR TERREO",45 32293980,Organização Religiosa,ATIVA
627528,INSTITUTO CIDADE JUNIOR,BRESSAN.REGIANE@CIDADEJUNIOR.ORG.BR,"AVENIDA DESEMBARGADOR CLOTARIO PORTUGAL, SALA  18 E 19",41 31520406,Associação Privada,ATIVA
620449,IGREJA DO SETIMO DIA MOVIMENTO DO ADVENTO,ISDMADVENTO@HOTMAIL.COM,AVENIDA BRASIL,44 97739700,Organização Religiosa,ATIVA
618470,ASSOCIACAO BRASILEIRA DE AROMATERAPIA E AROMATOLOGIA - ABRAROMA,ABRAROMA@AROMATERAPIA.ORG.BR,"RUA XV DE NOVEMBRO, CONJ  1406                COND  LUSTOZA ED",41 88656681,Associação Privada,ATIVA
651693,FUNDACAO EVANGELIZAR E PRECISO,SISTEMACONTABI@UOL.COM.BR,RUA SETE DE SETEMBRO 42,4132216002,Fundação Privada,Não informado
661008,IGREJA APOSTOLICA,CONSELHODELIBERATIVO@IGREJAAPOSTOLICA.ORG,RUA CRISTOVAO COLOMBO,11 29417066,Organização Religiosa,ATIVA
585415,ASSOCIACAO BRASILEIRA DAS OPERADORAS DE TRENS TURISTICOS E CULTURAIS,ADM2@CONTECPR.COM.BR,RUA OMILIO MONTEIRO SOARES,41 30760170,Associação Privada,ATIVA
585342,ALIANCA MISSIONARIA DE DISCIPULOS - AMD,FRANCOAMD7@GMAIL.COM,"AVENIDA PRESIDENTE WENCESLAU BRAZ, APT   13                  ANDAR 01                  COND  FIT PALLADIUM CD    BLOCO TORRE 1",21 99837023,Associação Privada,ATIVA
653766,ECKANKAR BRASIL,AJCONTAB@GLOBO.COM,"ALAMEDA CABRAL, APT: 121;",41 30277855,Organização Religiosa,ATIVA
645989,IG1.28 INSTITUTO GENESIS 1.28,JBSOUSA@UOL.COM.BR,"AVENIDA JAIME REIS, CONJ  12                  COND  GARIBALDI ED CMRL",41 30812565,Associação Privada,ATIVA
672132,AFUL ASSOCIACAO DAS FAMILIAS UNIDAS DE LOANDA,biraescritorio@hotmail.com,"AVENIDA DES MUNHOS DE MELLO, TERREO",4403425312,Associação Privada,ATIVA
667119,ASSOCIACAO NACIONAL DE FILOSOFOS CLINICOS,ANFIC@ANFIC.COM.BR,ALAMEDA CABRAL,41 30920198,Associação Privada,ATIVA
